Question|Reponse
L'embauche est-elle réellement plus simple après un parcours en alternance ?|Oui, l’alternance favorise l’obtention d’un premier emploi en rapport avec la spécialité du diplôme obtenu, la montée en compétence de l’alternant au sein d’un environnement professionnel et permet de sortir de l’école avec une vraie expérience professionnelle. Il est donc plus simple de trouver un CDD/CDI après une formation en alternance et le salaire est plus conséquent. Il est aussi possible qu’à la fin du contrat, l’entreprise propose un CDI à l’alternant. 
Quel est le salaire moyen des alternants ?|Le salaire d’un alternant est défini par une grille salariale qui est elle-même définie par l’état en fonction du type de contrat (à l’ESILV il s’agit d’un contrat d’apprentissage), de l’âge, et du nombre d’années passés en alternance, ou bien par le SMC (Salaire Minimum Conventionnel) si existant et plus favorable à l’apprenti. 
Où s'adresser pour postuler en alternance ?|Il faut s’adresser à Assia Spicher, Responsable de l'Alternance et des missions en entreprises au moment de l’ouverture des candidatures pour le parcours alternance.  
À qui s'adresser pour postuler en alternance ?|Il faut s’adresser à Assia Spicher, Responsable de l'Alternance et des missions en entreprises au moment de l’ouverture des candidatures pour le parcours alternance.  
À quoi consiste l'alternance ?|L’alternance consiste à travailler en entreprise pour apprendre un métier en relation avec ses études pendant la durée de sa formation. Une partie de la semaine est consacrée à l’école et l’autre partie à l’entreprise. L’étudiant est considéré comme salarié de l’entreprise pour la durée de sa formation, il reçoit donc un salaire et des congés payés et s’engage à accomplir les missions et objectifs qui lui sont fournis pendant son temps en entreprise tout en faisant ses études en parallèle. L’objectif étant de sortir de l’école en ayant déjà une vraie première expérience professionnelle (pas uniquement constituée de périodes de stage). Cela favorise l’insertion professionnelle et un salaire plus conséquent à la sortie.
Qui est concerné par l'alternance ?|Les étudiants en 2nd et 3ème année à l’ESILV pour s’engager sur une formation en alternance de 3 ou 2 ans respectivement.
Peut-on prétendre à l'alternance en ayant intégré l'école par concours (prépa, BTS, DUT, fac, licence) ?|Oui, l’accès à l’alternance n’est pas conditionné au moyen de recrutement de l’école.
Comment se préparer le mieux en amont pour le parcours ?|Être pro-actif en ce qui concerne l’apprentissage de nouvelles compétences, ne pas attendre que le sujet soit abordé en cours ou lors d’un module, savoir s’organiser car en alternance les vacances sont moindres par rapport aux autres parcours et il faut aussi passer des partiels/examens (ou rendre des projets), le temps disponible doit donc être correctement utilisé pour ne pas être débordé.
Comment trouve t'on les entreprises ? Quelques tips ?|Lors de rencontres organisées par l’école, en répondant à des offres ou à l’aide de son réseau.
Combien de places sont disponibles chaque année ?|L'école publie chaque année le nombre de places disponibles pour chaque majeure
Quels sont les critères pour être accepté ?|Une pré-sélection se fait au cours de la 2eme ou 3eme année en fonction du dossier de l’étudiant. Ensuite, les étudiants éligibles à l’alternance disposent de quelques mois pour trouver un contrat qui doit être validé par l’école. L'admission au parcours alternance dépend aussi du nombre de places disponibles pour chaque majeur. 
Les cours suivis en parcours alternance sont-ils les mêmes qu'en parcours classique ?|Non, il y a un socle de cours qui est commun à tous les parcours et qui est abordé pendant la période scolaire de la semaine et pendant le temps en entreprise, il y a des matières qui ne sont pas suivies par les alternants.  
